indicator,sub_indicator,entity,department,year,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
TB,MENINGITIS TUBERCULOSA,BOLIVAR,BOLIVAR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,BOLIVAR,BOLIVAR,2015,2,0,1,2,2,2,2,1,1,3,1,0,0,2,0,1,4,0,1,1,2,3,2,1,0,2,0,0,0,2,1,3,1,0,2,3,1,3,3,0,1,0,1,2,0,1,0,0,2,0,1,0
TB,TUBERCULOSIS PULMONAR,BOLIVAR,BOLIVAR,2015,11,6,5,5,5,5,8,4,6,9,4,7,3,3,3,6,7,6,9,4,6,4,8,6,5,10,4,4,7,11,6,6,6,11,4,7,8,10,4,4,6,10,4,13,2,5,2,3,2,2,4,3
TB,TUBERCULOSIS FÁRMACORRESISTENTE,BOLIVAR,BOLIVAR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,BOYACA,BOYACA,2015,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,BOYACA,BOYACA,2015,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,3,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,BOYACA,BOYACA,2015,3,0,1,0,1,0,2,0,3,1,1,2,1,4,1,2,4,2,0,3,2,3,0,1,2,1,0,0,1,4,2,0,3,3,0,2,3,1,3,1,0,0,1,2,1,1,3,2,1,0,0,1
TB,MENINGITIS TUBERCULOSA,CALDAS,CALDAS,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CALDAS,CALDAS,2015,1,0,1,1,0,1,1,1,1,2,0,0,0,0,1,0,2,1,1,1,2,2,1,0,0,4,3,1,1,0,0,2,1,0,0,1,0,2,0,1,1,1,0,1,1,2,0,0,1,0,0,0
TB,TUBERCULOSIS PULMONAR,CALDAS,CALDAS,2015,3,7,8,3,7,7,7,8,2,6,6,4,2,4,5,7,4,8,2,7,6,4,2,3,10,5,6,5,8,2,7,3,8,5,8,4,7,6,2,2,6,7,6,4,5,6,5,7,4,3,1,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CALDAS,CALDAS,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,CAQUETA,CAQUETA,2015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CAQUETA,CAQUETA,2015,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TB,TUBERCULOSIS PULMONAR,CAQUETA,CAQUETA,2015,2,1,2,2,1,2,6,3,3,0,4,3,0,2,2,2,3,5,4,0,1,2,4,1,3,0,4,4,1,3,3,6,4,0,1,3,4,2,2,2,1,1,4,3,1,4,7,3,2,4,0,0
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CAQUETA,CAQUETA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TB,MENINGITIS TUBERCULOSA,CAUCA,CAUCA,2015,0,0,0,0,0,3,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CAUCA,CAUCA,2015,1,0,4,3,2,0,2,2,2,0,1,0,1,0,0,2,1,0,4,1,1,0,0,1,0,2,2,1,0,0,1,1,0,1,0,1,0,0,2,1,0,0,0,0,1,2,1,0,0,1,2,0
TB,TUBERCULOSIS PULMONAR,CAUCA,CAUCA,2015,6,4,3,1,2,3,3,3,2,4,4,2,2,2,5,2,3,2,3,2,11,7,5,5,2,4,3,3,3,6,3,6,3,4,4,4,7,7,3,4,2,3,1,3,9,7,3,3,3,3,1,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CAUCA,CAUCA,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,CESAR,CESAR,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CESAR,CESAR,2015,1,1,1,0,0,0,0,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,2,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
TB,TUBERCULOSIS PULMONAR,CESAR,CESAR,2015,4,3,3,12,5,1,3,6,3,4,1,3,3,2,8,10,1,1,6,6,7,10,8,3,3,5,4,6,4,7,1,9,5,5,7,5,5,1,3,4,6,5,6,4,5,3,6,0,5,5,4,0
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CESAR,CESAR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,CORDOBA,CORDOBA,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CORDOBA,CORDOBA,2015,1,0,0,0,0,0,0,0,2,0,1,3,0,0,4,1,0,2,0,1,0,2,0,1,0,0,2,0,2,2,0,2,0,1,1,0,1,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,CORDOBA,CORDOBA,2015,3,2,2,1,7,6,2,5,6,3,4,5,3,5,5,8,4,4,3,6,4,2,2,4,2,4,4,3,3,2,8,7,7,4,6,3,2,0,5,3,3,1,2,3,2,1,3,3,2,5,1,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CORDOBA,CORDOBA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TB,MENINGITIS TUBERCULOSA,CUNDINAMARCA,CUNDINAMARCA,2015,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,CUNDINAMARCA,CUNDINAMARCA,2015,2,0,1,1,0,2,1,3,0,1,0,0,3,0,0,1,1,3,0,3,4,3,0,0,2,3,1,0,1,3,1,1,4,0,0,1,1,1,1,1,3,2,2,0,0,0,2,1,0,2,2,0
TB,TUBERCULOSIS PULMONAR,CUNDINAMARCA,CUNDINAMARCA,2015,7,5,4,8,6,6,2,6,6,8,7,2,3,8,7,5,3,10,5,5,9,7,3,7,5,5,10,4,5,3,2,12,13,6,4,7,1,15,5,10,4,7,5,2,11,4,7,2,8,3,2,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CUNDINAMARCA,CUNDINAMARCA,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TB,MENINGITIS TUBERCULOSA,CHOCO,CHOCO,2015,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CHOCO,CHOCO,2015,1,0,1,0,0,2,1,1,1,2,2,1,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,3,1,0,1,0,2,1,0,0,0,1,2,0,0
TB,TUBERCULOSIS PULMONAR,CHOCO,CHOCO,2015,2,2,3,0,7,0,3,6,3,6,3,7,5,4,6,3,6,5,6,2,11,6,4,8,2,8,2,5,4,4,1,10,9,10,4,4,5,3,5,8,3,1,3,4,2,3,1,3,6,2,1,0
TB,TUBERCULOSIS FÁRMACORRESISTENTE,CHOCO,CHOCO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,HUILA,HUILA,2015,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,HUILA,HUILA,2015,1,0,0,2,0,0,0,2,0,0,0,3,1,0,1,2,0,1,1,0,0,3,0,1,1,1,3,1,2,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0
TB,TUBERCULOSIS PULMONAR,HUILA,HUILA,2015,5,7,7,3,4,8,7,5,5,8,9,6,2,4,5,7,3,5,8,4,5,12,7,7,8,4,5,7,4,12,5,4,7,5,6,6,7,5,5,8,6,5,10,4,6,3,2,5,3,5,2,3
TB,TUBERCULOSIS FÁRMACORRESISTENTE,HUILA,HUILA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,LA GUAJIRA,LA GUAJIRA,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,LA GUAJIRA,LA GUAJIRA,2015,2,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,2,0,0,2,1,0,0,0
TB,TUBERCULOSIS PULMONAR,LA GUAJIRA,LA GUAJIRA,2015,7,2,4,3,3,8,5,2,3,6,4,8,1,8,4,5,5,8,6,6,3,3,4,0,4,4,2,3,3,6,3,2,5,7,5,3,4,3,5,6,3,7,3,3,2,2,6,1,1,2,3,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,LA GUAJIRA,LA GUAJIRA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,MAGDALENA,MAGDALENA,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,MAGDALENA,MAGDALENA,2015,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,1,1,1,0,0,0,0,2,0,1,2,1,0,0,0
TB,TUBERCULOSIS PULMONAR,MAGDALENA,MAGDALENA,2015,3,3,4,2,8,5,8,4,4,10,6,2,2,4,5,3,3,7,8,5,7,7,3,4,6,3,4,3,4,8,4,3,6,1,8,4,2,6,5,10,3,6,4,3,3,2,7,8,3,5,3,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,MAGDALENA,MAGDALENA,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,META,META,2015,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,META,META,2015,0,0,2,0,1,2,1,0,2,0,1,0,2,0,1,0,2,1,1,1,1,1,0,2,2,2,2,0,0,1,1,1,0,1,1,1,1,2,0,3,4,3,1,0,0,1,1,0,0,2,1,0
TB,TUBERCULOSIS PULMONAR,META,META,2015,5,5,5,9,8,10,15,6,8,8,8,7,3,7,7,9,3,9,10,4,5,7,10,3,5,9,2,10,7,5,5,8,3,16,11,10,6,10,11,4,9,3,7,8,8,9,6,8,5,5,2,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,META,META,2015,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TB,MENINGITIS TUBERCULOSA,NARIÑO,NARIÑO,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
TB,TUBERCULOSIS EXTRA PULMONAR,NARIÑO,NARIÑO,2015,0,0,1,0,3,0,0,1,0,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
TB,TUBERCULOSIS PULMONAR,NARIÑO,NARIÑO,2015,1,2,2,3,4,1,2,0,2,6,1,4,3,2,8,2,1,7,5,1,1,4,2,5,2,4,2,2,1,2,1,4,4,3,5,2,0,5,3,0,2,3,3,3,1,0,2,1,4,2,0,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,NARIÑO,NARIÑO,2015,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,NORTE SANTANDER,NORTE SANTANDER,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,NORTE SANTANDER,NORTE SANTANDER,2015,0,0,0,1,0,2,0,1,1,1,2,1,0,2,0,3,3,1,2,2,0,1,1,0,0,0,1,1,0,1,4,0,1,0,0,0,1,1,4,0,3,4,1,0,0,0,0,2,2,1,0,0
TB,TUBERCULOSIS PULMONAR,NORTE SANTANDER,NORTE SANTANDER,2015,7,4,7,8,8,9,10,9,7,5,9,11,6,7,8,7,7,11,10,2,8,8,6,7,7,9,10,3,8,4,1,8,6,4,9,7,4,8,6,5,7,2,15,9,7,5,14,7,4,7,3,4
TB,TUBERCULOSIS FÁRMACORRESISTENTE,NORTE SANTANDER,NORTE SANTANDER,2015,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,1,1,0,1,1,0
TB,MENINGITIS TUBERCULOSA,QUINDIO,QUINDIO,2015,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,QUINDIO,QUINDIO,2015,1,0,0,1,0,3,1,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,QUINDIO,QUINDIO,2015,1,0,2,2,3,7,7,3,9,2,4,7,2,4,4,4,3,2,4,3,2,8,6,5,4,1,5,4,3,3,4,4,3,2,4,6,2,3,6,4,1,3,2,3,3,2,4,1,3,0,2,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,QUINDIO,QUINDIO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,RISARALDA,RISARALDA,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,RISARALDA,RISARALDA,2015,1,0,0,5,1,1,4,0,2,2,5,2,0,0,1,3,2,1,0,3,1,2,4,2,0,0,1,1,0,3,1,0,2,1,0,1,1,5,0,0,0,2,1,0,0,1,2,1,0,2,0,0
TB,TUBERCULOSIS PULMONAR,RISARALDA,RISARALDA,2015,8,4,7,10,9,8,7,9,10,11,6,3,13,8,10,8,8,10,5,9,11,10,11,9,7,6,5,14,6,11,12,10,9,9,9,2,10,10,11,8,10,8,10,3,6,3,5,11,10,8,4,2
TB,TUBERCULOSIS FÁRMACORRESISTENTE,RISARALDA,RISARALDA,2015,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,3,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,SANTANDER,SANTANDER,2015,0,2,2,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,SANTANDER,SANTANDER,2015,3,2,3,2,0,1,3,3,2,3,2,3,2,1,3,0,0,3,2,3,4,1,1,0,1,0,2,3,1,0,0,1,0,2,2,2,0,1,2,2,3,1,1,2,1,1,1,0,1,1,0,0
TB,TUBERCULOSIS PULMONAR,SANTANDER,SANTANDER,2015,12,11,10,9,13,12,12,7,4,15,9,5,4,13,18,9,5,10,6,8,7,12,9,14,10,11,11,13,9,8,11,10,7,11,20,14,11,10,9,13,13,12,9,15,14,10,6,16,6,7,7,5
TB,TUBERCULOSIS FÁRMACORRESISTENTE,SANTANDER,SANTANDER,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,3,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,SUCRE,SUCRE,2015,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,SUCRE,SUCRE,2015,1,1,1,2,0,1,2,2,1,2,1,0,0,3,2,3,0,0,3,0,2,0,1,1,0,0,1,2,0,3,0,3,1,0,2,0,2,1,2,3,0,0,0,1,0,0,1,1,0,0,2,0
TB,MENINGITIS TUBERCULOSA,TOLIMA,TOLIMA,2015,1,2,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,TOLIMA,TOLIMA,2015,3,2,2,2,1,2,1,2,0,1,1,3,0,2,3,0,0,1,1,0,0,3,1,1,1,1,1,1,0,1,1,2,2,1,0,3,2,0,0,2,0,2,1,1,2,0,1,3,3,1,0,0
TB,TUBERCULOSIS PULMONAR,TOLIMA,TOLIMA,2015,7,7,13,5,8,6,9,11,6,10,10,7,7,4,7,9,7,14,5,8,10,6,6,6,8,7,8,11,7,6,13,11,5,9,12,8,7,13,3,5,8,7,5,3,5,11,8,8,3,5,4,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,TOLIMA,TOLIMA,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,MENINGITIS TUBERCULOSA,VALLE DEL CAUCA,VALLE DEL CAUCA,2015,1,3,1,2,0,5,0,1,0,1,2,3,1,3,1,3,3,1,1,2,3,0,2,2,0,2,1,2,0,0,3,0,1,1,0,0,1,2,1,0,1,1,1,1,0,2,1,0,1,3,1,0
