INDICATOR,SUB_INDICATOR,ENTITY,DEPARTMENT,YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
TB,TUBERCULOSIS EXTRA PULMONAR,CESAR,CESAR,2017,0,0,1,1,0,0,1,0,0,1,0,3,2,0,0,2,1,1,0,2,3,1,0,3,1,2,0,0,2,0,0,1,0,1,1,0,2,1,1,2,1,2,0,0,0,0,2,1,0,1,2,0
TB,TUBERCULOSIS EXTRA PULMONAR,CORDOBA,CORDOBA,2017,0,0,0,0,1,0,0,0,2,1,1,2,2,0,1,1,1,2,1,2,1,5,0,2,0,0,1,1,2,0,0,0,2,2,1,1,1,1,0,1,0,0,0,1,0,2,0,1,3,1,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,CUNDINAMARCA,CUNDINAMARCA,2017,0,0,1,2,1,2,1,0,1,5,0,1,2,1,1,3,1,1,1,4,1,1,3,1,2,0,1,1,1,0,2,2,2,0,0,2,2,1,1,0,1,0,4,2,3,2,1,1,1,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CHOCO,CHOCO,2017,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0,0,3,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,1
TB,TUBERCULOSIS EXTRA PULMONAR,HUILA,HUILA,2017,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,LA GUAJIRA,LA GUAJIRA,2017,1,2,1,0,1,1,2,1,2,2,0,1,1,2,1,1,1,2,0,0,1,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2,2,0
TB,TUBERCULOSIS EXTRA PULMONAR,MAGDALENA,MAGDALENA,2017,1,1,2,1,2,0,2,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,2,1,0,1,0,0,1,0,1,2,1,1,1,1,1,1,0,0,1,1,0,0,0,2,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,META,META,2017,1,1,2,1,1,2,1,0,0,3,1,3,2,1,1,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,2,2,1,1,0,2,1,0,1,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,NARINO,NARINO,2017,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,1,1,0,1,0,0,0,0,1
TB,TUBERCULOSIS EXTRA PULMONAR,NORTE SANTANDER,NORTE SANTANDER,2017,0,0,4,1,0,0,1,0,1,0,1,1,1,2,0,0,0,0,1,1,3,0,1,2,0,0,1,0,1,0,1,0,1,0,3,2,0,1,0,0,2,1,0,1,1,1,0,1,1,0,4,1
TB,TUBERCULOSIS EXTRA PULMONAR,QUINDIO,QUINDIO,2017,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,3,1,0,0,1,1,0,2,1,0,0,0,2,1,0,2,2,0,0,2,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,RISARALDA,RISARALDA,2017,0,1,0,1,4,3,0,0,3,1,2,2,2,1,2,2,3,3,0,2,3,4,2,2,2,0,1,0,1,0,1,2,4,0,1,3,4,3,4,1,3,3,0,2,2,1,1,5,0,0,2,3
TB,TUBERCULOSIS EXTRA PULMONAR,SANTANDER,SANTANDER,2017,1,0,3,1,2,1,2,2,1,0,0,3,3,2,3,0,1,3,2,4,1,0,1,1,1,3,2,0,4,1,0,0,5,3,0,2,0,0,3,1,0,0,2,2,2,2,2,2,1,0,1,1
TB,TUBERCULOSIS EXTRA PULMONAR,SUCRE,SUCRE,2017,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,TOLIMA,TOLIMA,2017,2,0,2,0,0,0,1,2,2,2,1,2,1,0,2,1,0,1,3,2,0,1,2,1,4,1,0,0,1,0,1,1,1,0,2,2,1,3,1,1,0,3,2,2,1,2,1,1,1,1,1,1
TB,TUBERCULOSIS EXTRA PULMONAR,VALLE DEL CAUCA,VALLE DEL CAUCA,2017,7,7,1,3,8,3,5,4,4,4,7,6,6,2,5,5,4,3,5,5,5,6,5,7,8,3,4,6,1,2,3,3,2,4,8,3,4,2,3,3,2,5,3,1,6,3,2,3,4,4,2,3
TB,TUBERCULOSIS EXTRA PULMONAR,ARAUCA,ARAUCA,2017,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TB,TUBERCULOSIS EXTRA PULMONAR,CASANARE,CASANARE,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,0,0,0,1,2,1,0,0,1,2,0,2,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,PUTUMAYO,PUTUMAYO,2017,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,SAN ANDRES,SAN ANDRES,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,AMAZONAS,AMAZONAS,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,GUAINIA,GUAINIA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,GUAVIARE,GUAVIARE,2017,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,VAUPES,VAUPES,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,PROCEDENCIA DESCONOCIDA,PROCEDENCIA DESCONOCIDA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,EXTERIOR,EXTERIOR,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,ANTIOQUIA,ANTIOQUIA,2017,2,3,3,1,1,4,3,0,4,4,1,3,4,1,0,1,2,2,2,3,3,1,2,0,1,1,0,2,3,4,3,0,1,0,0,0,0,3,3,3,5,1,1,1,1,0,2,3,1,2,1,2
TB,TUBERCULOSIS FARMACORRESISTENTE,ATLANTICO,ATLANTICO,2017,0,0,0,2,2,0,0,1,0,1,1,1,2,0,2,3,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1
TB,TUBERCULOSIS FARMACORRESISTENTE,BOGOTA,BOGOTA,2017,0,2,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,BOLIVAR,BOLIVAR,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CALDAS,CALDAS,2017,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CAQUETA,CAQUETA,2017,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CAUCA,CAUCA,2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CESAR,CESAR,2017,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CORDOBA,CORDOBA,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CUNDINAMARCA,CUNDINAMARCA,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CHOCO,CHOCO,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,HUILA,HUILA,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,LA GUAJIRA,LA GUAJIRA,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,MAGDALENA,MAGDALENA,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,META,META,2017,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,NARINO,NARINO,2017,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,NORTE SANTANDER,NORTE SANTANDER,2017,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,QUINDIO,QUINDIO,2017,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,RISARALDA,RISARALDA,2017,0,0,1,0,1,2,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
TB,TUBERCULOSIS FARMACORRESISTENTE,SANTANDER,SANTANDER,2017,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
TB,TUBERCULOSIS FARMACORRESISTENTE,SUCRE,SUCRE,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,TOLIMA,TOLIMA,2017,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,VALLE DEL CAUCA,VALLE DEL CAUCA,2017,3,1,4,1,3,1,3,0,0,1,7,1,2,3,0,2,3,3,1,1,3,2,5,4,1,1,1,1,1,3,3,1,1,3,2,3,0,2,6,1,2,1,1,3,4,3,8,5,0,1,2,0
TB,TUBERCULOSIS FARMACORRESISTENTE,ARAUCA,ARAUCA,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,CASANARE,CASANARE,2017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,PUTUMAYO,PUTUMAYO,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS FARMACORRESISTENTE,AMAZONAS,AMAZONAS,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,PROCEDENCIA DESCONOCIDA,PROCEDENCIA DESCONOCIDA,2017,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,TUBERCULOSIS PULMONAR,EXTERIOR,EXTERIOR,2017,0,1,0,1,1,0,0,0,2,1,5,0,3,1,1,1,0,1,3,1,2,2,2,0,1,0,1,1,3,1,0,1,1,3,1,2,3,2,3,1,3,1,2,1,1,1,3,2,3,0,0,2
TB,TUBERCULOSIS PULMONAR,ANTIOQUIA,ANTIOQUIA,2017,50,34,41,55,46,50,45,35,51,40,37,31,40,53,37,49,51,36,35,48,36,34,35,40,31,42,36,44,43,45,42,41,46,26,27,41,42,59,38,40,38,31,47,46,41,32,55,50,33,33,51,32
TB,TUBERCULOSIS PULMONAR,ATLANTICO,ATLANTICO,2017,24,9,19,14,17,14,16,16,22,16,19,9,19,13,14,17,19,18,14,15,9,11,22,14,15,18,12,14,12,12,16,21,17,15,13,18,18,25,10,10,18,10,13,12,17,11,25,22,12,17,10,8
TB,TUBERCULOSIS PULMONAR,BOGOTA,BOGOTA,2017,12,19,15,7,16,18,10,13,13,18,15,17,15,15,10,17,15,7,17,23,13,16,13,20,18,13,12,30,17,12,14,15,17,14,11,13,18,12,15,13,8,18,14,17,14,12,14,13,15,13,12,17
TB,TUBERCULOSIS PULMONAR,BOLIVAR,BOLIVAR,2017,15,6,8,9,10,11,8,7,13,11,6,9,8,14,8,11,9,5,11,7,11,5,11,5,8,7,6,11,13,10,7,6,9,3,9,5,8,9,2,9,6,9,5,7,7,4,7,4,5,3,8,5
TB,TUBERCULOSIS PULMONAR,BOYACA,BOYACA,2017,2,2,0,1,2,3,1,2,0,1,5,2,2,1,2,2,1,3,2,1,2,3,1,2,5,2,3,1,4,3,0,2,2,0,0,5,0,3,2,1,2,2,1,1,1,3,2,1,1,1,0,1
TB,TUBERCULOSIS PULMONAR,CALDAS,CALDAS,2017,13,7,5,5,1,11,10,9,5,5,5,11,3,3,4,5,1,5,7,10,7,7,14,8,7,8,5,5,6,7,4,3,9,4,2,10,6,1,5,8,3,9,10,4,5,6,4,5,8,6,7,2
TB,TUBERCULOSIS PULMONAR,CAQUETA,CAQUETA,2017,5,2,9,8,5,6,4,9,1,6,5,2,1,2,5,3,3,4,2,3,1,4,5,4,1,2,3,5,5,0,7,1,7,5,4,4,2,2,2,3,3,5,4,3,6,2,4,2,2,4,5,2
TB,TUBERCULOSIS PULMONAR,CAUCA,CAUCA,2017,5,5,2,3,4,4,3,3,1,4,2,3,4,8,2,4,7,5,5,4,5,6,8,4,9,4,6,2,6,6,2,2,2,3,6,2,4,4,4,8,5,8,3,4,2,6,1,4,4,3,2,5
TB,TUBERCULOSIS PULMONAR,CESAR,CESAR,2017,4,8,6,12,4,9,4,6,4,11,9,4,9,4,3,7,10,4,6,6,6,3,5,4,4,8,10,8,7,7,9,8,8,6,8,4,8,6,6,4,6,12,7,4,7,4,7,4,2,7,8,5
TB,TUBERCULOSIS PULMONAR,CORDOBA,CORDOBA,2017,4,4,9,0,2,8,3,4,5,3,4,6,8,9,3,4,6,5,6,3,3,3,3,4,4,5,4,4,5,4,2,2,5,3,3,5,6,5,5,6,4,0,1,2,3,4,1,5,3,2,6,1
TB,TUBERCULOSIS PULMONAR,CUNDINAMARCA,CUNDINAMARCA,2017,10,3,6,6,7,9,3,4,5,6,4,7,10,7,6,7,5,3,4,9,13,4,9,6,12,8,5,7,6,6,9,4,5,14,7,12,5,3,10,5,7,5,8,3,6,5,9,11,5,10,1,5
TB,TUBERCULOSIS PULMONAR,CHOCO,CHOCO,2017,0,5,2,5,5,4,7,5,7,4,10,2,4,3,5,4,3,6,5,3,4,4,3,3,1,2,3,2,6,2,2,4,6,1,8,0,5,5,9,1,10,7,5,5,2,1,1,4,6,4,3,2
TB,TUBERCULOSIS PULMONAR,HUILA,HUILA,2017,5,5,6,6,13,4,13,1,4,7,5,8,9,5,5,4,6,2,7,5,5,6,6,7,5,2,12,6,4,2,8,12,5,4,6,9,8,11,5,4,8,3,4,7,8,1,7,2,8,6,7,6
TB,TUBERCULOSIS PULMONAR,LA GUAJIRA,LA GUAJIRA,2017,1,7,5,6,4,6,7,5,7,8,6,7,7,4,4,6,6,2,6,8,7,5,8,7,4,7,7,7,10,9,3,1,4,4,2,1,3,7,4,4,4,4,6,4,8,6,10,3,2,3,3,2
TB,TUBERCULOSIS PULMONAR,MAGDALENA,MAGDALENA,2017,4,7,11,6,2,7,7,6,3,8,4,2,6,8,6,4,2,5,4,5,5,2,4,3,8,9,3,4,3,4,4,5,6,4,0,4,5,6,6,8,5,6,8,4,3,6,8,5,5,8,8,7
TB,TUBERCULOSIS PULMONAR,META,META,2017,8,5,12,7,14,8,6,20,8,7,3,7,7,11,6,8,6,7,11,9,10,5,11,11,5,5,11,3,9,11,4,7,10,9,10,8,15,18,6,10,12,8,17,8,3,8,5,9,11,9,11,9
TB,TUBERCULOSIS PULMONAR,NARINO,NARINO,2017,3,2,2,2,5,1,1,0,2,2,7,1,1,7,3,1,6,3,2,4,1,1,1,2,3,2,2,2,3,3,2,5,3,3,2,2,1,3,5,2,2,2,2,3,9,0,1,1,1,5,1,2
TB,TUBERCULOSIS PULMONAR,NORTE SANTANDER,NORTE SANTANDER,2017,10,10,13,8,11,8,5,7,9,9,7,8,6,9,1,18,8,7,8,9,8,6,9,7,9,8,3,4,8,8,8,4,15,6,13,8,15,7,9,7,11,7,9,11,10,7,5,9,8,7,12,5
TB,TUBERCULOSIS PULMONAR,QUINDIO,QUINDIO,2017,2,2,7,4,5,1,2,4,1,4,1,6,5,3,1,4,6,1,3,4,1,4,5,2,1,5,3,2,2,4,3,4,3,6,2,4,2,8,3,3,3,4,4,5,2,6,4,5,7,4,4,4
TB,TUBERCULOSIS PULMONAR,RISARALDA,RISARALDA,2017,11,4,15,7,4,9,12,12,8,8,5,8,4,15,9,10,7,9,10,13,8,11,13,12,5,9,10,2,13,3,9,6,5,12,10,8,9,10,8,8,13,6,7,15,5,1,6,2,8,9,10,9
TB,TUBERCULOSIS PULMONAR,SANTANDER,SANTANDER,2017,10,11,23,11,11,9,8,7,10,11,10,12,14,13,9,6,10,4,13,13,13,14,17,14,12,12,12,12,10,7,13,9,14,8,14,11,11,11,20,15,12,11,11,9,8,8,12,15,7,16,7,4
TB,TUBERCULOSIS PULMONAR,SUCRE,SUCRE,2017,1,1,4,4,2,1,4,2,0,3,0,1,1,3,0,2,4,0,4,0,1,0,2,1,2,1,0,2,1,2,2,1,2,1,2,0,0,1,1,2,1,2,1,4,2,0,2,0,3,2,4,2
TB,TUBERCULOSIS PULMONAR,TOLIMA,TOLIMA,2017,6,3,10,15,11,7,2,6,11,14,5,9,12,10,4,10,5,8,8,6,11,8,8,14,11,4,19,11,13,17,6,9,8,12,9,9,9,4,12,10,8,8,6,0,9,7,15,8,4,8,5,3
TB,TUBERCULOSIS PULMONAR,VALLE DEL CAUCA,VALLE DEL CAUCA,2017,34,34,43,36,42,39,37,44,42,47,40,26,37,34,20,41,31,32,34,26,36,30,36,38,37,37,32,41,29,31,31,31,36,33,45,46,40,44,46,22,43,25,38,35,31,28,34,36,27,46,21,25
TB,TUBERCULOSIS PULMONAR,ARAUCA,ARAUCA,2017,2,1,2,1,2,4,2,0,1,1,1,3,5,2,3,2,3,1,2,2,2,0,3,4,1,1,1,4,4,1,2,0,0,0,4,1,1,2,1,2,0,2,0,0,4,0,2,3,1,0,2,1
TB,TUBERCULOSIS PULMONAR,CASANARE,CASANARE,2017,0,2,5,2,3,2,4,5,4,1,2,3,2,2,2,2,5,2,6,2,3,4,3,4,4,4,4,7,4,1,4,2,4,5,3,3,2,0,2,5,1,1,6,6,4,1,5,3,4,2,4,2
TB,TUBERCULOSIS PULMONAR,PUTUMAYO,PUTUMAYO,2017,0,4,2,1,1,5,3,3,3,2,3,1,1,1,1,2,0,2,1,2,1,4,0,1,1,2,0,0,0,3,1,1,2,2,1,3,2,0,3,2,0,2,3,3,2,1,0,1,2,3,0,1
TB,TUBERCULOSIS PULMONAR,SAN ANDRES,SAN ANDRES,2017,0,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
