entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
ATLANTICO,2019,9,8,4,2,8,6,8,7,4,4,8,4,9,7,14,5,7,6,5,12,5,10,5,12,9,7,11,4,7,7,8,8,5,5,5,8,10,9,10,10,6,9,4,6,10,10,12,7,10,7,3,1,
ATLANTICO,2019,15,10,18,11,10,10,14,7,16,10,9,12,4,18,12,7,15,10,13,14,14,18,8,7,7,8,8,13,19,19,8,9,11,8,7,13,11,9,15,12,6,9,5,12,9,10,10,10,12,7,10,2,
BOGOTA DC,2019,15,20,28,23,22,18,25,27,29,17,25,22,20,29,30,19,37,18,21,17,35,22,22,25,27,26,19,23,11,30,18,23,23,27,31,37,20,30,23,24,28,17,23,29,23,23,18,27,18,23,17,5,
BOLIVAR,2019,0,1,3,7,3,1,4,2,3,0,2,1,3,1,2,2,3,3,4,3,3,3,3,3,3,3,1,6,5,5,3,2,1,4,2,3,6,1,2,2,4,0,1,1,5,3,2,0,0,4,0,1,
BOLIVAR,2019,9,8,3,6,12,4,4,6,9,6,9,10,3,5,8,4,8,8,4,3,11,8,4,6,6,7,4,6,6,9,12,5,7,4,6,12,3,4,5,3,8,10,3,7,5,4,11,10,11,5,6,2,
BOYACA,2019,3,1,0,0,0,6,3,5,4,2,3,5,3,4,5,3,4,4,2,3,4,2,2,2,5,3,4,2,3,4,3,2,5,1,2,1,2,0,4,5,2,2,3,3,2,4,4,2,0,1,2,1,
CALDAS,2019,6,6,10,4,3,3,8,7,5,7,5,7,15,4,6,6,6,3,8,3,7,5,4,3,2,6,3,6,4,9,3,7,11,1,2,2,5,8,5,7,6,6,3,8,7,2,6,5,6,4,7,6,
CAQUETA,2019,3,1,2,3,3,8,7,2,3,6,3,12,4,4,4,1,3,0,1,4,5,3,5,4,1,0,6,3,5,5,3,3,5,7,2,4,7,3,4,4,10,5,10,6,3,2,7,6,1,4,0,2,
CAUCA,2019,2,4,6,4,7,3,8,5,6,3,7,4,4,6,7,3,5,6,9,5,5,8,3,6,8,5,4,8,4,5,10,9,4,8,2,4,10,9,2,6,6,2,5,3,5,6,5,6,3,3,7,4,
CESAR,2019,5,10,8,4,8,10,9,11,12,4,5,4,1,12,3,1,5,5,6,6,11,5,4,9,11,6,7,8,6,10,4,8,7,6,10,13,10,4,11,10,9,6,3,7,8,6,7,4,5,3,8,2,
CORDOBA,2019,7,2,3,4,8,2,4,4,6,4,2,7,3,9,3,1,7,3,5,7,6,2,2,4,2,5,7,9,5,3,6,11,5,2,4,8,6,1,5,2,2,1,4,0,2,2,1,3,4,3,6,0,
CUNDINAMARCA,2019,4,10,7,13,7,7,7,11,8,8,13,7,13,10,6,7,12,15,6,9,16,10,11,9,9,8,6,9,13,11,12,9,7,6,13,10,12,11,11,3,8,8,9,9,8,5,12,12,6,17,4,5,
CHOCO,2019,0,3,5,4,2,5,7,3,6,4,5,4,4,2,4,1,8,6,5,3,4,7,3,7,5,4,2,7,3,10,5,6,5,5,7,4,5,6,3,1,1,7,3,3,4,5,5,2,1,5,3,1,
HUILA,2019,8,8,7,9,13,4,8,5,10,6,6,10,3,8,8,10,8,5,6,10,6,6,4,11,7,9,8,6,7,4,10,4,9,5,5,4,5,11,4,7,7,5,10,4,3,7,10,6,8,5,7,4,
LA GUAJIRA,2019,5,9,5,12,4,13,10,6,3,9,5,7,11,14,4,6,7,5,12,5,15,4,10,12,7,5,9,10,9,11,9,12,6,12,10,14,10,11,5,12,11,7,8,4,6,9,11,9,10,9,3,3,
MAGDALENA,2019,0,5,4,2,4,7,7,3,3,2,2,3,2,1,1,3,3,1,4,3,2,2,4,4,1,3,0,3,0,2,0,3,3,1,1,4,3,3,5,2,4,4,3,3,1,1,4,4,3,1,3,2,
MAGDALENA,2019,1,3,2,4,3,7,5,5,9,6,6,3,3,2,4,1,3,3,2,6,7,1,3,1,2,4,2,7,2,2,3,8,3,3,6,4,9,7,1,3,5,3,0,1,3,5,2,6,2,5,2,1,
META,2019,4,14,7,6,8,9,12,11,8,10,11,16,16,6,13,11,11,11,5,12,14,13,5,8,12,9,6,8,7,13,11,14,8,16,12,12,10,8,15,9,14,7,8,11,9,10,5,8,13,10,7,6,
NARIÑO,2019,3,6,6,4,4,1,1,1,3,3,5,1,3,2,4,3,2,2,2,3,3,6,6,5,5,3,7,4,1,2,4,2,4,0,1,7,3,6,2,6,6,5,5,4,0,7,3,2,1,2,1,0,
NORTE SANTANDER,2019,9,3,12,15,13,10,9,9,8,6,14,11,8,8,13,6,13,7,9,16,7,9,8,7,17,9,9,14,10,10,7,10,11,6,9,10,12,10,15,19,11,6,13,9,10,8,10,4,7,12,7,6,
QUINDIO,2019,4,2,3,10,8,2,7,8,8,5,5,3,3,2,4,1,4,4,7,7,2,4,5,5,1,3,2,2,4,4,2,2,5,2,5,8,9,4,1,2,4,4,6,3,3,5,6,6,4,1,5,3,
RISARALDA,2019,6,8,10,21,14,9,13,9,16,9,10,10,14,11,14,6,5,14,12,8,19,12,6,9,15,11,4,7,11,6,15,10,14,9,12,18,15,11,12,8,4,5,14,4,5,10,13,13,7,13,7,2,
SANTANDER,2019,12,14,9,17,11,15,20,10,13,9,14,17,5,16,8,9,13,8,11,13,10,9,7,17,13,12,6,18,17,15,15,5,9,8,15,9,15,16,9,8,6,14,11,14,12,13,9,12,13,11,16,4,
SUCRE,2019,1,1,0,3,1,4,5,2,3,4,1,1,2,2,1,0,3,3,5,3,2,1,3,3,3,3,3,2,5,4,0,2,3,3,3,1,1,1,0,1,6,3,2,2,1,1,4,2,1,1,0,1,
TOLIMA,2019,12,12,8,14,14,4,7,12,11,9,7,7,9,8,15,7,8,6,7,10,12,7,8,7,11,7,9,10,7,7,10,9,8,14,14,10,11,11,11,8,10,10,10,7,7,15,10,7,12,6,7,3,
VALLE DEL CAUCA,2019,1,5,4,3,3,4,3,8,5,3,5,6,1,3,4,5,3,2,7,4,3,7,5,5,2,3,3,4,6,5,4,4,4,3,2,4,2,5,2,2,7,3,2,1,4,3,3,2,3,4,4,0,
VALLE DEL CAUCA,2019,36,36,39,52,38,38,44,30,47,36,37,43,30,30,28,22,57,29,39,31,42,31,45,34,32,36,19,48,38,37,43,37,29,33,46,50,45,48,48,42,57,32,47,49,33,30,23,34,25,24,11,11,
ARAUCA,2019,1,1,2,0,0,2,3,2,2,2,4,4,1,1,3,1,1,4,2,5,3,4,4,0,1,3,2,4,2,2,3,3,2,3,3,3,2,2,0,3,3,0,2,4,2,2,0,1,1,1,1,0,
CASANARE,2019,1,5,2,2,1,5,2,5,2,3,1,2,5,5,3,2,5,5,3,2,5,5,1,1,2,2,0,1,4,1,5,1,2,1,4,1,1,6,3,4,0,0,0,3,3,1,4,3,2,2,1,2,
PUTUMAYO,2019,2,1,3,0,1,1,2,2,3,2,2,4,1,1,2,0,6,2,2,3,5,1,3,1,2,1,1,2,3,5,2,0,2,0,5,2,1,2,0,2,5,4,2,2,3,0,3,0,2,3,1,0,
SAN ANDRES,2019,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
AMAZONAS,2019,0,2,1,1,2,1,0,0,0,2,1,1,1,1,1,1,0,3,2,0,1,1,2,0,1,1,2,1,0,2,1,3,0,0,2,1,2,4,2,1,0,1,1,2,0,0,3,0,1,1,0,1,
GUAINIA,2019,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,
GUAVIARE,2019,0,2,1,0,3,3,1,0,1,1,2,2,0,0,0,0,1,0,1,0,0,0,2,2,1,2,0,1,0,1,1,0,1,0,1,2,0,1,0,1,1,0,1,1,0,6,3,1,0,1,0,0,
VAUPES,2019,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
VICHADA,2019,0,0,0,1,0,0,0,0,0,1,1,0,3,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,
EXTERIOR,2018,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
ANTIOQUIA,2018,1,0,0,1,0,1,1,0,4,0,2,0,2,3,0,1,2,0,3,0,0,0,2,4,0,1,0,2,1,2,1,5,1,1,1,3,1,0,2,0,0,2,1,3,1,1,0,0,5,0,0,0,
ATLANTICO,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
BOGOTA DC,2018,1,4,0,1,2,0,0,2,1,5,2,3,1,1,0,0,3,1,2,4,0,2,1,3,1,0,4,0,1,1,2,3,3,1,2,1,0,2,2,3,0,3,2,2,0,0,0,1,0,4,0,0,
BOLIVAR,2018,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,
BOYACA,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
CALDAS,2018,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
CAQUETA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CAUCA,2018,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
CESAR,2018,1,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
CORDOBA,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
CUNDINAMARCA,2018,0,1,1,0,0,1,1,1,2,1,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,
CHOCO,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
HUILA,2018,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,
LA GUAJIRA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
MAGDALENA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
META,2018,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,
NARIÑO,2018,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
NORTE SANTANDER,2018,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,
QUINDIO,2018,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
RISARALDA,2018,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,2,1,1,4,1,0,0,0,0,1,2,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SANTANDER,2018,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
TOLIMA,2018,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,
VALLE DEL CAUCA,2018,0,0,2,2,2,2,5,5,1,5,2,0,1,3,2,4,1,0,0,2,5,0,1,1,2,2,2,2,1,0,1,0,0,0,1,0,2,1,2,1,0,0,0,0,2,0,1,1,5,0,1,0,
CASANARE,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AMAZONAS,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUAINIA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
GUAVIARE,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VAUPES,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VICHADA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EXTERIOR,2018,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
ANTIOQUIA,2018,10,9,5,16,9,6,7,5,15,5,11,8,7,13,19,12,8,5,6,4,12,11,11,4,6,4,5,11,6,8,12,9,7,9,8,13,10,12,7,10,8,6,9,9,10,8,5,10,4,11,7,2,
ATLANTICO,2018,3,7,1,2,4,0,2,1,1,3,3,2,0,3,3,2,5,2,2,0,5,5,1,0,2,3,2,3,1,2,3,0,0,4,2,3,3,1,8,4,4,3,1,2,2,0,2,0,1,0,0,1,
BOGOTA DC,2018,7,2,5,3,6,8,3,2,2,5,3,3,4,3,2,3,5,2,6,4,4,5,3,4,9,5,2,3,4,4,5,3,4,7,5,3,10,5,5,4,5,8,7,6,3,6,12,6,7,5,5,7,
BOLIVAR,2018,2,3,3,0,1,0,4,2,2,1,0,1,0,4,2,4,2,3,0,1,1,1,2,3,1,1,2,0,0,2,0,0,1,0,1,3,0,0,2,3,1,1,1,1,3,3,3,1,2,2,6,1,
BOYACA,2018,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,
CALDAS,2018,1,0,0,1,0,2,0,1,1,2,0,1,2,2,2,0,2,0,1,3,0,1,1,0,0,0,0,1,1,3,0,1,0,0,0,1,1,0,2,0,2,1,2,0,1,0,0,1,0,0,2,1,
CAQUETA,2018,0,1,2,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,4,1,1,0,0,0,0,1,2,1,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0,2,2,1,
CAUCA,2018,1,0,0,2,0,1,1,2,1,1,3,1,0,1,1,2,0,0,0,0,2,1,3,1,1,2,1,1,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
CESAR,2018,0,0,1,0,0,1,0,0,4,1,0,3,1,1,1,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,2,0,2,2,0,1,0,0,3,0,1,0,1,0,0,0,0,2,1,1,1,0,
CORDOBA,2018,0,1,0,0,1,0,1,2,1,1,1,1,0,1,2,1,0,0,1,0,2,1,1,2,0,1,0,0,0,2,0,0,3,1,0,0,2,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,
CUNDINAMARCA,2018,3,4,0,1,4,0,1,0,1,0,4,2,2,0,1,0,4,3,1,3,4,0,0,1,3,3,1,3,1,2,0,3,2,1,0,2,1,3,2,2,2,4,1,1,0,2,0,2,2,2,4,1,
CHOCO,2018,0,1,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,
HUILA,2018,2,1,0,1,0,0,0,2,0,1,0,2,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,2,1,3,1,1,4,1,1,0,0,0,3,1,0,1,1,0,1,1,1,1,0,0,0,0,
LA GUAJIRA,2018,0,1,0,0,1,1,0,1,1,2,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,
MAGDALENA,2018,0,0,0,0,0,0,0,1,1,3,1,0,1,1,1,1,5,0,1,0,2,2,1,0,1,1,0,0,1,1,0,1,0,0,1,4,0,1,1,2,1,1,1,0,2,0,2,1,1,0,0,0,
META,2018,2,3,2,0,1,1,1,0,1,0,0,1,3,1,1,0,2,1,2,1,3,2,0,0,1,0,0,1,1,1,1,1,1,0,1,2,1,1,1,2,0,1,0,0,1,0,2,2,1,2,0,0,
NARIÑO,2018,0,1,1,1,2,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,2,2,2,1,0,1,0,0,0,
NORTE SANTANDER,2018,0,1,0,1,1,0,1,0,0,2,2,0,0,1,0,2,0,0,1,3,1,1,2,0,3,0,3,1,0,4,3,1,0,4,2,1,0,2,2,1,1,2,0,0,1,1,0,0,2,0,1,2,
QUINDIO,2018,0,0,0,0,0,2,0,1,4,3,1,0,0,2,0,3,0,2,2,0,1,0,2,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,0,0,0,1,0,
RISARALDA,2018,0,2,4,2,3,3,5,1,0,3,3,1,3,5,3,3,2,1,1,5,2,3,0,0,0,2,0,1,0,0,0,0,5,0,1,2,1,0,1,4,0,0,3,3,2,1,1,2,6,2,2,1,
SANTANDER,2018,0,1,6,3,3,2,4,0,1,0,4,1,0,1,0,5,1,1,3,1,2,2,0,1,0,2,4,0,1,1,0,0,4,0,0,2,3,2,1,0,1,1,0,1,1,0,4,0,1,1,1,1,
SUCRE,2018,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TOLIMA,2018,1,2,0,1,0,2,1,1,4,2,1,1,1,3,2,2,0,1,1,2,3,0,0,1,0,2,3,2,3,0,0,0,1,1,3,2,1,0,1,0,1,0,0,1,3,0,3,3,0,2,1,0,
